dataset,seed,mode,log_csv,teacher_hidden,teacher_layers,teacher_dropout,teacher_norm,teacher_lr,teacher_wd,teacher_epochs,teacher_patience,han_hidden,han_semantic_hidden,han_dropout,han_heads,han_lr,han_wd,han_epochs,han_patience,positional_relations,student_hidden,student_layers,student_dropout,student_lr,student_wd,student_epochs,student_patience,no_direct_aux,kd_T,ce_coeff,kd_coeff,lambda_rel_pos,lambda_rel_struct,lambda_mp_feat,lambda_mp_relpos,lambda_mp_beta,rel_dim,mp_dim,mp_beta_hidden,delta_dim,noise_std,reliability_alpha,gamma_a,gamma_b,use_positional_encoding,mp_pe_dim,mp_walk_length,mp_context_size,mp_walks_per_node,mp_epochs,mp_cache_dir,rsage_val,rsage_test,seed_used
IMDB,0,rsage_only,./rsage.csv,128,2,0.2,none,0.01,0.0,100,30,128,128,0.5,4,0.01,0.0001,300,40,[],128,2,0.5,0.005,0.0,1000,1000,False,1.0,0,1,1,0,0,0,0,128,128,128,128,0.05,0.5,4.0,2.0,False,128,40,5,10,30,./mp2v_cache,0.6050,0.5785,0
IMDB,0,rsage_only,./rsage.csv,128,2,0.2,none,0.01,0.0,100,30,128,128,0.5,4,0.01,0.0001,300,40,[],128,2,0.5,0.005,0.0,1000,1000,False,1.0,0,1,1,0,0,0,0,128,128,128,128,0.05,0.5,4.0,2.0,False,128,40,5,10,30,./mp2v_cache,0.6050,0.5785,0
IMDB,0,rsage_only,./rsage.csv,128,2,0.2,none,0.01,0.0,100,30,128,128,0.5,4,0.01,0.0001,300,40,[],128,2,0.5,0.005,0.0,1000,1000,False,1.0,0,1,1,0,0,0,0,128,128,128,128,0.05,0.5,4.0,2.0,False,128,40,5,10,30,./mp2v_cache,0.6050,0.5785,0
